Re,Pf
24.39412036,21.65551517
27.88973568,18.87081661
31.885661,16.50875689
36.68716525,14.36021232
42.2117043,12.49129169
48.56815642,10.86560314
55.88101851,9.478757951
64.29479271,8.273690081
73.97662806,7.196904466
85.11403698,6.296430846
97.92821708,5.508624102
112.6719246,4.816611485
129.6321464,4.233427104
149.1457625,3.71871019
171.5929602,3.281665798
197.4152828,2.906013948
227.1178185,2.586741485
261.2798695,2.319857114
300.572068,2.092529821
345.7577878,1.904958914
397.7164829,1.752280188
457.4667294,1.623956392
526.1744342,1.516345091
605.201466,1.415864642
696.0996369,1.321281036
800.6613783,1.22946894
920.9243108,1.145355654
1059.251276,1.066996921
1218.362345,0.992854312
1401.338568,0.928666707
1611.812467,0.866629247
1853.888165,0.809668511
2132.279354,0.759508616
2452.557283,0.707547348
2820.918868,0.660281262
3244.579422,0.617238635
3731.857191,0.577334422
4292.207969,0.542817439
4936.573766,0.513017432
5677.501069,0.487936026
6529.452171,0.466762394
7509.036094,0.449087579
8635.438484,0.433578317
9930.670242,0.419812313
11420.01542,0.407656053
13132.7971,0.395395913
15102.12707,0.385276239
17366.86467,0.374983219
19971.11468,0.365385983
22966.07681,0.355419514
26409.88384,0.34652258
30370.43403,0.33707064
34924.92692,0.327876516
40161.53974,0.32040661
46184.99478,0.310770472
53111.40876,0.30194559
61076.75437,0.293202328
70236.11124,0.28520478
80769.2728,0.277265584
90552.31627,0.270748094
